rank_test_balanced_accuracy,mean_test_balanced_accuracy,mean_test_f1,mean_test_f1_weighted,mean_test_accuracy,mean_fit_time,C,gamma
1,0.7972665956691516,0.5784118002918045,0.9950460060205755,0.9931377017635059,0.17629585266113282,100,scale
2,0.762332268370607,0.5243589743589743,0.9896063325955009,0.9830917166202445,0.40419158935546873,10000,scale
3,0.7543201987930421,0.5556448705036865,0.9917674839412612,0.9869827672039021,0.20926852226257325,1000,scale
4,0.7424387646432374,0.389047619047619,0.9892520104621434,0.983162462994493,0.16985683441162108,1000,auto
5,0.7411253106141286,0.389047619047619,0.9878583458337792,0.9805448471473049,0.17582178115844727,10000,auto
6,0.7045686900958467,0.476890756302521,0.9915811317379222,0.9871242599523988,0.15523223876953124,100,auto
7,0.6958111466098686,0.4519142380838975,0.9927456992346041,0.9895297117260362,0.1578671455383301,10,auto
8,0.5,0.0,0.9946975304321601,0.9964629314515665,0.09190001487731933,0.01,scale
8,0.5,0.0,0.9946975304321601,0.9964629314515665,0.09658665657043457,0.01,auto
8,0.5,0.0,0.9946975304321601,0.9964629314515665,0.10845398902893066,0.1,scale
8,0.5,0.0,0.9946975304321601,0.9964629314515665,0.11512541770935059,0.1,auto
8,0.5,0.0,0.9946975304321601,0.9964629314515665,0.13105716705322265,1,scale
8,0.5,0.0,0.9946975304321601,0.9964629314515665,0.14595847129821776,1,auto
14,0.498757543485978,0.0,0.9934517473249007,0.9939868083528752,0.16157913208007812,10,scale
