rank_test_balanced_accuracy,mean_test_balanced_accuracy,mean_test_f1,mean_test_f1_weighted,mean_test_accuracy,mean_fit_time,C,gamma
1,0.5064543742509844,0.021363922549837284,0.9470424947183496,0.9296296296296296,5.600745487213135,10,auto
2,0.504417051874679,0.007990012484394507,0.9632051052809354,0.9607744107744107,107.26386919021607,10000,scale
3,0.5027392569765452,0.02346087251162992,0.9423724284300551,0.9203703703703703,24.707964992523195,1000,auto
4,0.502105803800719,0.02687962409889914,0.9296670661774128,0.8976430976430976,75.41744751930237,10000,auto
5,0.5013696284882726,0.0057553956834532375,0.9745573058043577,0.9821212121212121,4.9924615859985355,1,auto
6,0.5,0.0,0.9750700280112043,0.9833333333333332,0.827270793914795,0.01,scale
6,0.5,0.0,0.9750700280112043,0.9833333333333332,0.9865203857421875,0.01,auto
6,0.5,0.0,0.9750700280112043,0.9833333333333332,0.8017369270324707,0.1,scale
6,0.5,0.0,0.9750700280112043,0.9833333333333332,3.5183857440948487,0.1,auto
6,0.5,0.0,0.9750700280112043,0.9833333333333332,1.3069167137145996,1,scale
6,0.5,0.0,0.9750700280112043,0.9833333333333332,4.614816522598266,10,scale
6,0.5,0.0,0.9750700280112043,0.9833333333333332,38.321883630752566,100,scale
6,0.5,0.0,0.9750700280112043,0.9833333333333332,105.54684486389161,1000,scale
14,0.499366546824174,0.018093662855692423,0.9246929732421864,0.8903030303030303,15.561930227279664,100,auto
