rank_test_score,mean_test_score,mean_fit_time,kernel,degree,C,gamma
1,0.8873700112836804,51.966099643707274,poly,2,10,auto
1,0.8873700112836804,35.06695818901062,poly,2,100,scale
3,0.844666802630198,19.174394655227662,poly,3,100,auto
4,0.8390186756438236,2.4465662002563477,poly,4,1,auto
5,0.8378736823816915,100.54651398658753,poly,3,1000,auto
6,0.8376831281644478,1.6625538349151612,poly,3,1,auto
7,0.8353523992626718,1.6841441631317138,rbf,1,100,scale
8,0.8312408733675565,3.1260228157043457,poly,3,1000,scale
9,0.8280019462048379,2.38808217048645,poly,4,100,scale
10,0.8225086132404054,1.5645624637603759,rbf,1,1000,scale
11,0.8176988685601672,2.8352455139160155,poly,3,10,auto
12,0.8139900171820809,2.3345733165740965,poly,3,100,scale
13,0.8077950728516766,14.823027658462525,poly,2,1000,scale
14,0.8068651795722227,9.09447603225708,poly,2,100,auto
15,0.8039778886115044,5.683787107467651,poly,4,1000,scale
16,0.8038247548881368,14.621350860595703,poly,2,1000,auto
17,0.7865678145039645,2.3416935443878173,poly,5,0.1,auto
18,0.7734338426117209,12.715521907806396,poly,4,10,auto
19,0.7641622173843953,2.7318161010742186,poly,5,100,scale
20,0.7625250719419464,69.70206084251404,poly,4,100,auto
21,0.7546008481712227,1.7797167778015137,poly,4,0.1,auto
22,0.7523039601330505,10.042540550231934,poly,5,1,auto
23,0.7493852031281796,65.3675883769989,poly,5,10,auto
24,0.7455995575035995,8.917428970336914,poly,5,1000,scale
25,0.7445967098339089,1.1951374530792236,rbf,1,100,auto
26,0.7443769616113066,1.6290056228637695,rbf,1,10,auto
27,0.7233740104916009,577.4342928409576,poly,4,1000,auto
28,0.714263833349915,1.8853263854980469,rbf,1,1000,auto
29,0.6696699281010647,3.4772102355957033,poly,3,10,scale
30,0.6626030862571949,642.0363306999207,poly,5,100,auto
31,0.6585728196298517,2.470030689239502,poly,5,10,scale
32,0.6578812120223937,1.6455903053283691,poly,5,0.01,auto
33,0.653884214227866,3.339041900634766,poly,4,10,scale
34,0.6329481426004999,824.5988234996796,poly,5,1000,auto
35,0.3625373354360377,3.099786472320557,poly,3,0.1,auto
36,0.35571018529820336,3.2926259517669676,poly,4,0.01,auto
37,0.30675011913097705,3.366283082962036,poly,5,1,scale
38,0.07918781725888326,1.4670230388641357,poly,2,0.1,auto
39,0.0707423580786026,1.0189195632934571,poly,2,1,scale
40,0.06236766121270452,1.4916282653808595,poly,2,1,auto
41,0.05806451612903226,1.6407901763916015,poly,2,10,scale
42,0.05259528000287367,2.136201190948486,poly,4,1,scale
43,0.04615384615384614,1.79632248878479,poly,5,0.01,scale
44,0.045538461538461535,1.2650304317474366,poly,3,0.1,scale
45,0.044081632653061226,1.8724409580230712,rbf,1,10,scale
46,0.04334448160535117,1.9001156330108642,poly,3,1,scale
47,0.04216005204944698,1.2751900672912597,poly,3,0.01,auto
48,0.04011627906976744,1.8390052795410157,rbf,1,1,scale
49,0.03877917414721723,1.8028420448303222,rbf,1,1,auto
50,0.03847980997624704,2.2401057720184325,poly,4,0.1,scale
51,0.034913793103448276,1.4222805976867676,poly,5,0.1,scale
52,0.004878048780487804,1.7204786777496337,rbf,1,0.1,auto
53,0.0,0.7898620128631592,poly,1,0.01,scale
53,0.0,0.755290937423706,poly,1,0.01,auto
53,0.0,0.9350937366485595,poly,2,0.01,scale
53,0.0,1.1395018577575684,poly,2,0.01,auto
53,0.0,1.0234127044677734,poly,3,0.01,scale
53,0.0,1.21103196144104,poly,4,0.01,scale
53,0.0,0.7271327495574951,poly,1,0.1,scale
53,0.0,0.6719871520996094,poly,1,0.1,auto
53,0.0,0.9384691715240479,poly,2,0.1,scale
53,0.0,0.903533935546875,poly,1,1,scale
53,0.0,0.594478702545166,poly,1,1,auto
53,0.0,1.0887444972991944,poly,1,10,scale
53,0.0,2.2734805583953857,poly,1,10,auto
53,0.0,53.97474970817566,poly,1,100,scale
53,0.0,291.32651834487916,poly,1,100,auto
53,0.0,416.4514976501465,poly,1,1000,scale
53,0.0,278.26593523025514,poly,1,1000,auto
53,0.0,1.3894548416137695,rbf,1,0.01,scale
53,0.0,1.479393720626831,rbf,1,0.01,auto
53,0.0,1.5684226989746093,rbf,1,0.1,scale
