rank_test_balanced_accuracy,mean_test_balanced_accuracy,mean_test_f1,mean_test_f1_weighted,mean_test_accuracy,mean_fit_time,learning_rate_init,hidden_layer_sizes
1,1.0,1.0,1.0,1.0,2.414401960372925,0.01,8
1,1.0,1.0,1.0,1.0,4.760827255249024,0.001,32
1,1.0,1.0,1.0,1.0,1.7652079105377196,0.01,32
1,1.0,1.0,1.0,1.0,4.901346969604492,0.001,64
1,1.0,1.0,1.0,1.0,1.8131669521331788,0.01,64
1,1.0,1.0,1.0,1.0,1.0588233947753907,0.1,64
1,1.0,1.0,1.0,1.0,7.2144684314727785,0.001,"(8, 8)"
1,1.0,1.0,1.0,1.0,1.8126058101654052,0.01,"(8, 8)"
1,1.0,1.0,1.0,1.0,1.4583763599395752,0.01,"(32, 32)"
1,1.0,1.0,1.0,1.0,1.7983793258666991,0.01,"(64, 64)"
11,0.9991111111111112,0.9991071428571429,0.9997779687784327,0.9997783933518006,1.6614076614379882,0.01,"(16, 16)"
12,0.9984777988881852,0.9947598253275108,0.9986795527049015,0.998669623059867,6.219823026657105,0.001,8
13,0.9956934768841039,0.9710317869229627,0.9925867394150487,0.9924644526475485,0.9377538204193115,0.1,8
14,0.9946666666666667,0.9945205479452055,0.9986546609475034,0.9986703601108033,4.749636840820313,0.001,"(16, 16)"
15,0.9928888888888888,0.9926267281105992,0.9981989331181635,0.9982271468144045,3.96152400970459,0.001,"(64, 64)"
16,0.9902222222222221,0.9897196261682243,0.9975081032948736,0.9975623268698062,3.0744259357452393,0.001,"(32, 32)"
17,0.9773333333333334,0.974436090225564,0.9940327551820592,0.994349030470914,2.1263351917266844,0.01,16
18,0.9771445457209561,0.9706510923642657,0.9930575020838465,0.9933518005540167,7.265090274810791,0.001,16
19,0.8923833649989446,0.7866794654064831,0.9599468356776745,0.9716334277168006,0.759730052947998,0.1,"(32, 32)"
20,0.8893805309734514,0.788785046728972,0.9607086377112892,0.9724099722991688,0.9697466850280761,0.1,"(8, 8)"
21,0.87017099430019,0.6629830700681683,0.918079869779325,0.9228808864265929,1.6959130764007568,0.1,"(64, 64)"
22,0.8631673761366885,0.6230616450444654,0.9009741535992914,0.9005965198911621,1.035055112838745,0.1,16
23,0.7857504749841672,0.5283539449470447,0.9046419741275169,0.9251939365276302,0.7391077041625976,0.1,"(16, 16)"
24,0.7711302218196103,0.46549192364170333,0.8825400278553367,0.8993767620123947,0.8374689102172852,0.1,32
25,0.5052455626110398,0.021052631578947368,0.8194898422931256,0.8755540473309542,0.862573766708374,1,64
26,0.5008748675929091,0.017283950617283952,0.8147552886147855,0.8672437980234751,0.5159099578857422,1,16
27,0.5,0.0,0.8166667304100553,0.8750000307104557,0.260969877243042,1,8
27,0.5,0.0,0.8166667304100553,0.8750000307104557,0.5952118396759033,1,32
27,0.5,0.0,0.8166667304100553,0.8750000307104557,0.5581137657165527,1,"(8, 8)"
27,0.5,0.0,0.8166667304100553,0.8750000307104557,0.8332231044769287,1,"(16, 16)"
27,0.5,0.0,0.8166667304100553,0.8750000307104557,0.9827652931213379,1,"(32, 32)"
27,0.5,0.0,0.8166667304100553,0.8750000307104557,2.8116596698760987,1,"(64, 64)"
