rank_test_balanced_accuracy,mean_test_balanced_accuracy,mean_test_f1,mean_test_f1_weighted,mean_test_accuracy,mean_fit_time,learning_rate_init,hidden_layer_sizes
1,0.501864406779661,0.06336633663366338,0.6287798856487514,0.710445028262081,0.3342296123504639,0.001,16
2,0.5005084745762712,0.04507042253521127,0.6385530359067295,0.7281665472494228,0.13513669967651368,0.01,64
3,0.5002966101694916,0.05714285714285715,0.6319902434396505,0.7155083194013215,0.32828798294067385,0.001,64
4,0.5001271186440678,0.14961381584656777,0.5427737010774097,0.6066475599076506,0.08274312019348144,0.1,8
5,0.5,0.0,0.639026785445923,0.7471538890215748,0.05237975120544434,1,8
5,0.5,0.0,0.639026785445923,0.7471538890215748,0.09013538360595703,0.01,16
5,0.5,0.0,0.639026785445923,0.7471538890215748,0.09605789184570312,0.1,16
5,0.5,0.0,0.639026785445923,0.7471538890215748,0.06876521110534668,1,16
5,0.5,0.0,0.639026785445923,0.7471538890215748,0.08724851608276367,0.1,32
5,0.5,0.0,0.639026785445923,0.7471538890215748,0.08214483261108399,1,32
5,0.5,0.0,0.639026785445923,0.7471538890215748,0.10437440872192383,0.1,64
5,0.5,0.0,0.639026785445923,0.7471538890215748,0.11435608863830567,1,64
5,0.5,0.0,0.639026785445923,0.7471538890215748,0.1171194076538086,0.1,"(8, 8)"
5,0.5,0.0,0.639026785445923,0.7471538890215748,0.10466217994689941,1,"(8, 8)"
5,0.5,0.0,0.639026785445923,0.7471538890215748,0.33782339096069336,0.001,"(16, 16)"
5,0.5,0.0,0.639026785445923,0.7471538890215748,0.18244199752807616,0.01,"(16, 16)"
5,0.5,0.0,0.639026785445923,0.7471538890215748,0.08736195564270019,0.1,"(16, 16)"
5,0.5,0.0,0.639026785445923,0.7471538890215748,0.1017885684967041,1,"(16, 16)"
5,0.5,0.0,0.639026785445923,0.7471538890215748,0.18978505134582518,0.001,"(32, 32)"
5,0.5,0.0,0.639026785445923,0.7471538890215748,0.17958450317382812,0.01,"(32, 32)"
5,0.5,0.0,0.639026785445923,0.7471538890215748,0.12790589332580565,0.1,"(32, 32)"
5,0.5,0.0,0.639026785445923,0.7471538890215748,0.14396333694458008,1,"(32, 32)"
5,0.5,0.0,0.639026785445923,0.7471538890215748,0.4077280044555664,0.001,"(64, 64)"
5,0.5,0.0,0.639026785445923,0.7471538890215748,0.3224349021911621,0.01,"(64, 64)"
5,0.5,0.0,0.639026785445923,0.7471538890215748,0.19381604194641114,0.1,"(64, 64)"
5,0.5,0.08080808080808081,0.5317648429610855,0.6484197118063848,0.14956183433532716,1,"(64, 64)"
27,0.4999152542372881,0.01666666666666667,0.6403706440286285,0.7420905978823342,0.533601713180542,0.01,"(8, 8)"
28,0.49970338983050844,0.04698412698412698,0.6404064252563729,0.7294323700342329,0.6402742385864257,0.001,"(8, 8)"
29,0.49860169491525425,0.05591397849462365,0.6299525198460252,0.7129766738317013,0.09551630020141602,0.01,32
30,0.49783898305084745,0.05116279069767442,0.6320637788714945,0.7167741421861317,0.21132473945617675,0.001,32
31,0.4965677966101695,0.008333333333333335,0.63714625962155,0.739558952312714,0.23726401329040528,0.001,8
32,0.49483050847457627,0.0661654135338346,0.6047819168890276,0.6851285725658784,0.10620589256286621,0.01,8
